sourceNodeId,targetNodeId
12800459,13339572
12801612,13171881
12803010,14428836
12814313,14101095
12814542,12396900
12814999,14601464
12815420,14588286
12815692,12934024
12816547,14258833
12828081,14208056
12828495,14328394
12828504,14623511
12829169,14013594
12829260,12348203
12829518,13500607
12829606,14007112
12840335,13372355
12840335,14594880
12840876,14098474
12841101,13721694
12841148,13094720
12841160,13831240
12841228,14860390
12843904,13424178
12851671,13651981
12851693,14103018
12852757,12779532
12854128,13288532
12859995,13107472
12860085,14625222
12869651,13276459
12872049,13146376
12872357,13555881
12876215,14749776
12882229,13290034
12882914,14835154
12895709,13608070
12895709,13542146
12895709,13628047
12896298,14493862
12896298,14254984
12897117,13898953
12908451,14484761
12908451,14120311
12908451,14614777
12911353,13341248
12911472,14092199
12912908,13631095
12913348,14497780
12914869,13539391
12914874,13777284
12915017,14623928
12918198,14515671
12918827,14874822
12921993,14503644
12926476,12705093
12931937,14169524
12934024,12815692
12934168,13754345
12943640,14133718
12943640,14853377
12943640,14727857
12946127,13279625
12946248,14031428
12946448,14284650
12946893,14101973
12947090,14448655
12947090,14436980
12947152,14791389
12958338,14704356
12958376,13772627
12960788,13730014
12970875,13964736
12970875,14018975
12970875,14421879
12973151,14704276
12974659,13651028
12974659,14739938
12977283,14631986
12982453,14343334
12982641,14311894
12983096,14691443
12985958,14509475
12986776,13977506
12987055,13098710
12987136,13759781
12992775,14539828
12992815,13688427
12995337,13432382
12995337,12396829
12997172,13854665
12997306,14050303
13001443,13677428
13001474,14293313
13003498,14685411
13004131,14424361
13004234,14008222
13007175,13329072
13007802,14353662
13007890,13975942
13013739,13923307
13016477,14096287
13016975,13537589
13017149,13267343
13017491,14054702
13026658,13671565
13028305,14322704
13028400,13944716
13031806,14010955
13033570,14198733
13033758,13131594
13033952,14098263
13033999,14726655
13034034,14329518
13035314,13713383
13035404,14410910
13035500,12531814
13037397,13473454
13042970,13826980
13042970,13864393
13043200,14407888
13043200,14703108
13043200,14627655
13043200,14882582
13043494,13683296
13043704,13803090
13043721,13402905
13044109,13820655
13044445,12802961
13054900,13631180
13054977,14213809
13055100,13156428
13055195,13227833
13055315,13678844
13055989,13667718
13057368,13851617
13057508,13279782
13058602,12310311
13063114,12993803
13066564,13925926
13066564,13662008
13066564,13770009
13066584,13662934
13066584,13418042
13066840,13593188
13074725,14773878
13074908,14858430
13076584,13967025
13076589,14687321
13076589,14232169
13076624,14309406
13078977,14801083
13079978,14794626
13079978,13683326
13080206,13294816
13085474,14164794
13085546,14260679
13087820,14523544
13088030,14064724
13088216,12890757
13092848,13528054
13093294,13707390
13093294,14505375
13093294,14687862
13093410,13557743
13093621,13489908
13093621,14634233
13094720,12841148
13096956,13452280
13098675,14658790
13098710,12987055
13099263,14191622
13101688,14331137
13104042,13972299
13104112,13744157
13104231,14599712
13104246,13905703
13104246,14027950
13104246,13525017
13104246,13539536
13104246,14471133
13104246,13920944
13104246,14632924
13104246,14446545
13104493,14234147
13104828,13762519
13105079,14229876
13105262,13177646
13105339,13142417
13107291,14641214
13109560,14692736
13109851,14512278
13109851,13665737
13109851,13440370
13109958,14769265
13110582,12918854
13111409,14076375
13112797,14017276
13112851,13154641
13113119,14458832
13113398,13705902
13115560,13242677
13115616,14002360
13116113,13429781
13116364,14531145
13116364,13692506
13122648,13318404
13123389,13722590
13124832,12772542
13125246,13272171
13126221,13528964
13129639,14573170
13130277,12415001
13130843,14403717
13130893,14552534
13130937,13979018
13131302,13732835
13132419,14503676
13132658,13296444
13132753,14688463
13132900,13889241
13134224,14571200
13134224,14401770
13134224,13424673
13136409,14870728
13136697,14806888
13137786,14620374
13137959,14216529
13138304,14468285
13139084,14598253
13139128,14822612
13139367,13867934
13140056,13907539
