nodeId,fraud_transfer_flag,ip_count,card_count,device_count
12277058,0,3.0,3.0,1.0
12277133,0,46.0,5.0,2.0
12277284,0,22.0,6.0,1.0
12277311,0,16.0,1.0,1.0
12277343,0,33.0,3.0,1.0
12291610,0,8.0,1.0,1.0
12291643,0,37.0,2.0,0.0
12291659,0,15.0,4.0,2.0
12291665,0,1.0,0.0,6.0
12291781,1,34.0,17.0,2.0
12291806,0,47.0,5.0,1.0
12291822,0,30.0,5.0,5.0
12291824,0,18.0,6.0,2.0
12291925,0,139.0,4.0,1.0
12291968,0,32.0,1.0,1.0
12291986,0,6.0,3.0,1.0
12292113,0,34.0,2.0,0.0
12292151,0,42.0,3.0,2.0
12292156,0,47.0,5.0,2.0
12292211,0,138.0,8.0,1.0
12292221,0,85.0,9.0,1.0
12292227,0,4.0,1.0,1.0
12292278,0,1.0,0.0,2.0
12292387,0,3.0,1.0,0.0
12292450,0,79.0,5.0,1.0
12292457,0,17.0,4.0,0.0
12292488,0,17.0,2.0,1.0
12292537,0,127.0,2.0,1.0
12292562,0,36.0,5.0,1.0
12310120,0,26.0,5.0,1.0
12310181,0,4.0,2.0,0.0
12310200,0,62.0,3.0,1.0
12310311,0,9.0,2.0,2.0
12310489,0,23.0,3.0,1.0
12310543,0,40.0,3.0,3.0
12310557,0,9.0,1.0,1.0
12310622,0,28.0,3.0,0.0
12318899,0,17.0,4.0,1.0
12318901,0,25.0,6.0,1.0
12318947,0,46.0,6.0,0.0
12318951,0,162.0,4.0,1.0
12318958,0,32.0,5.0,1.0
12319067,0,78.0,2.0,1.0
12319072,0,15.0,6.0,1.0
12319140,0,40.0,3.0,2.0
12319161,0,45.0,4.0,1.0
12319238,0,9.0,2.0,1.0
12319243,0,22.0,1.0,3.0
12319260,0,7.0,5.0,0.0
12319267,0,29.0,1.0,2.0
12319314,0,12.0,1.0,1.0
12319360,0,10.0,4.0,1.0
12319369,0,12.0,3.0,2.0
12319387,0,58.0,5.0,1.0
12321074,0,5.0,0.0,1.0
12321087,0,32.0,3.0,1.0
12321126,0,7.0,1.0,5.0
12321266,0,294.0,10.0,2.0
12321310,0,6.0,1.0,3.0
12321556,0,13.0,1.0,2.0
12332547,0,60.0,4.0,2.0
12332565,0,38.0,1.0,1.0
12332569,0,63.0,4.0,1.0
12332578,0,43.0,3.0,1.0
12332595,0,319.0,10.0,4.0
12332610,0,11.0,2.0,1.0
12332618,0,10.0,2.0,3.0
12332629,0,67.0,3.0,1.0
12332668,0,68.0,2.0,2.0
12332863,0,16.0,2.0,2.0
12332923,0,20.0,0.0,0.0
12332929,0,76.0,10.0,1.0
12332934,0,77.0,5.0,1.0
12332941,0,15.0,4.0,3.0
12332951,0,39.0,2.0,1.0
12332961,0,49.0,2.0,1.0
12332976,0,235.0,8.0,1.0
12332979,0,89.0,24.0,4.0
12332980,0,14.0,2.0,2.0
12332981,0,7.0,5.0,3.0
12332983,0,111.0,3.0,1.0
12332984,0,11.0,9.0,3.0
12332989,0,19.0,6.0,1.0
12332990,0,177.0,3.0,2.0
12332996,0,42.0,6.0,2.0
12333003,0,35.0,5.0,0.0
12333008,0,20.0,2.0,2.0
12333009,0,10.0,3.0,1.0
12333010,0,93.0,8.0,2.0
12333014,0,84.0,2.0,2.0
12333018,0,10.0,1.0,1.0
12333019,0,49.0,6.0,1.0
12333021,0,47.0,6.0,1.0
12333027,0,1.0,0.0,1.0
12333029,0,9.0,4.0,1.0
12333034,0,4.0,3.0,4.0
12333042,0,262.0,4.0,2.0
12333045,0,7.0,1.0,1.0
12334703,0,20.0,2.0,1.0
12334718,0,11.0,5.0,1.0
12334724,0,18.0,3.0,0.0
12334778,0,2.0,0.0,2.0
12334844,0,6.0,5.0,1.0
12334988,0,89.0,2.0,1.0
12335000,0,3.0,1.0,2.0
12335015,0,34.0,2.0,0.0
12335045,0,194.0,9.0,3.0
12335089,0,21.0,6.0,3.0
12335108,0,32.0,7.0,1.0
12335203,0,9.0,5.0,1.0
12335228,0,37.0,4.0,1.0
12347827,0,215.0,3.0,1.0
12347902,0,17.0,4.0,1.0
12347967,0,20.0,7.0,1.0
12348140,0,21.0,3.0,1.0
12348202,0,47.0,4.0,2.0
12348203,0,15.0,4.0,2.0
12348885,0,165.0,6.0,1.0
12348887,0,47.0,3.0,1.0
12348889,0,59.0,6.0,2.0
